short,long
ev,transient event
Rad,Radio-source
mR,metric Radio-source
cm,centimetric Radio-source
mm,millimetric Radio-source
smm,sub-millimetric source
HI,HI (21cm) source
rB,radio Burst
Mas,Maser
IR,Infra-Red source
FIR,Far-Infrared source
MIR,Mid-Infrared source
NIR,Near-Infrared source
red,Very red source
ERO,Extremely Red Object
blu,Blue object
UV,UV-emission source
X,X-ray source
UX?,Ultra-luminous X-ray candidate
ULX,Ultra-luminous X-ray source
gam,gamma-ray source
gB,gamma-ray Burst
err,"Not an object (error, artefact, ...)"
grv,Gravitational Source
Lev,(Micro)Lensing Event
LS?,Possible gravitational lens System
Le?,Possible gravitational lens
LI?,Possible gravitationally lensed image
gLe,Gravitational Lens
gLS,Gravitational Lens System (lens+images)
GWE,Gravitational Wave Event
..?,Candidate objects
G?,Possible Galaxy
SC?,Possible Supercluster of Galaxies
C?G,Possible Cluster of Galaxies
Gr?,Possible Group of Galaxies
As?,
**?,Physical Binary Candidate
EB?,Eclipsing Binary Candidate
Sy?,Symbiotic Star Candidate
CV?,Cataclysmic Binary Candidate
No?,Nova Candidate
XB?,X-ray binary Candidate
LX?,Low-Mass X-ray binary Candidate
HX?,High-Mass X-ray binary Candidate
Pec?,Possible Peculiar Star
Y*?,Young Stellar Object Candidate
pr?,Pre-main sequence Star Candidate
TT?,T Tau star Candidate
C*?,Possible Carbon Star
S*?,Possible S Star
OH?,Possible Star with envelope of OH/IR type
WR?,Possible Wolf-Rayet Star
Be?,Possible Be Star
Ae?,Possible Herbig Ae/Be Star
HB?,Possible Horizontal Branch Star
RR?,Possible Star of RR Lyr type
Ce?,Possible Cepheid
WV?,Possible Variable Star of W Vir type
RB?,Possible Red Giant Branch star
sg?,Possible Supergiant star
s?r,Possible Red supergiant star
s?y,Possible Yellow supergiant star
s?b,Possible Blue supergiant star
AB?,Asymptotic Giant Branch Star candidate
LP?,Long Period Variable candidate
Mi?,Mira candidate
pA?,Post-AGB Star Candidate
BS?,Candidate blue Straggler Star
HS?,Hot subdwarf candidate
WD?,White Dwarf Candidate
N*?,Neutron Star Candidate
BH?,Black Hole Candidate
SN?,SuperNova Candidate
LM?,Low-mass star candidate
BD?,Brown Dwarf Candidate
mul,Composite object
reg,Region defined in the sky
vid,Underdense region of the Universe
SCG,Supercluster of Galaxies
ClG,Cluster of Galaxies
GrG,Group of Galaxies
CGG,Compact Group of Galaxies
PaG,Pair of Galaxies
IG,Interacting Galaxies
C?*,Possible (open) star cluster
Gl?,Possible Globular Cluster
Cl*,Cluster of Stars
GlC,Globular Cluster
OpC,Open (galactic) Cluster
As*,Association of Stars
St*,Stellar Stream
MGr,Moving Group
**,Double or multiple star
EB*,Eclipsing binary
Al*,Eclipsing binary of Algol type
bL*,Eclipsing binary of beta Lyr type
WU*,Eclipsing binary of W UMa type
SB*,Spectroscopic binary
El*,Ellipsoidal variable Star
Sy*,Symbiotic Star
CV*,Cataclysmic Variable Star
DQ*,CV DQ Her type (intermediate polar)
AM*,CV of AM Her type (polar)
NL*,Nova-like Star
No*,Nova
DN*,Dwarf Nova
XB*,X-ray Binary
LXB,Low Mass X-ray Binary
HXB,High Mass X-ray Binary
ISM,Interstellar matter
PoC,Part of Cloud
PN?,Possible Planetary Nebula
CGb,Cometary Globule
bub,Bubble
EmO,Emission Object
Cld,Cloud
GNe,Galactic Nebula
BNe,Bright Nebula
DNe,Dark Cloud (nebula)
RNe,Reflection Nebula
MoC,Molecular Cloud
glb,Globule (low-mass dark cloud)
cor,Dense core
SFR,Star forming region
HVC,High-velocity Cloud
HII,HII (ionized) region
PN,Planetary Nebula
sh,HI shell
SR?,SuperNova Remnant Candidate
SNR,SuperNova Remnant
cir,CircumStellar matter
of?,Outflow candidate
out,Outflow
HH,Herbig-Haro Object
*,Star
*iC,Star in Cluster
*iN,Star in Nebula
*iA,Star in Association
V*?,Star suspected of Variability
Pe*,Peculiar Star
HB*,Horizontal Branch Star
Y*O,Young Stellar Object
Ae*,Herbig Ae/Be star
Em*,Emission-line Star
Be*,Be Star
BS*,Blue Straggler Star
RG*,Red Giant Branch star
AB*,Asymptotic Giant Branch Star (He-burning)
C*,Carbon Star
S*,S Star
sg*,Evolved supergiant star
s*r,Red supergiant star
s*y,Yellow supergiant star
s*b,Blue supergiant star
HS*,Hot subdwarf
pA*,Post-AGB Star (proto-PN)
WD*,White Dwarf
LM*,Low-mass star (M<1solMass)
